"","month","day","year","totalEnergy","date","maxTemp","sunlightDuration"
"1",1,1,2014,30628.6896383,"2014-01-01",NA,607.7825752
"2",1,1,2014,30628.6896383,"2014-01-01",NA,607.6607525
"3",1,1,2015,16819.8043914,"2015-01-01",NA,607.7825752
"4",1,1,2015,16819.8043914,"2015-01-01",NA,607.6607525
"5",1,2,2014,36020.8421797,"2014-01-02",NA,608.3268383
"6",1,2,2015,34821.334892,"2015-01-02",NA,608.3268383
"7",1,3,2014,36832.980666,"2014-01-03",NA,608.914984
"8",1,3,2015,22295.112569,"2015-01-03",NA,608.914984
"9",1,4,2014,36280.1087952,"2014-01-04",NA,609.5464997
"10",1,4,2015,21879.926012532,"2015-01-04",NA,609.5464997
"11",1,5,2014,36285.3267973,"2014-01-05",NA,610.2208395
"12",1,5,2015,37848.9154309,"2015-01-05",NA,610.2208395
"13",1,6,2014,35365.1826547,"2014-01-06",NA,610.9374257
"14",1,6,2015,24220.52674445,"2015-01-06",NA,610.9374257
"15",1,7,2014,37098.0089045,"2014-01-07",NA,611.6956505
"16",1,7,2015,6303.2620031057,"2015-01-07",NA,611.6956505
"17",1,8,2014,39603.612975722,"2014-01-08",NA,612.494878
"18",1,8,2015,8927.3349032,"2015-01-08",NA,612.494878
"19",1,9,2014,33579.790434146,"2014-01-09",NA,613.3344459
"20",1,9,2015,10680.411968797,"2015-01-09",NA,613.3344459
"21",1,10,2014,14058.264813,"2014-01-10",NA,614.2136674
"22",1,10,2015,2345.90344009452,"2015-01-10",NA,614.2136674
"23",1,11,2014,15705.68724008,"2014-01-11",NA,615.1318331
"24",1,11,2015,23143.28326081,"2015-01-11",NA,615.1318331
"25",1,12,2014,20603.2991884,"2014-01-12",NA,616.0882129
"26",1,12,2015,41183.704944537,"2015-01-12",NA,616.0882129
"27",1,13,2014,34167.409464,"2014-01-13",NA,617.082058
"28",1,13,2015,39635.32538703,"2015-01-13",NA,617.082058
"29",1,14,2014,25224.92322641,"2014-01-14",NA,618.1126028
"30",1,14,2015,34342.26009405,"2015-01-14",NA,618.1126028
"31",1,15,2014,38725.6142586,"2014-01-15",NA,619.1790669
"32",1,15,2015,13988.5518917,"2015-01-15",NA,619.1790669
"33",1,16,2014,40041.86966,"2014-01-16",NA,620.2806569
"34",1,16,2015,26864.7655077,"2015-01-16",NA,620.2806569
"35",1,17,2014,36289.165405,"2014-01-17",NA,621.4165682
"36",1,17,2015,17579.4063349,"2015-01-17",NA,621.4165682
"37",1,18,2014,39333.748631,"2014-01-18",NA,622.585987
"38",1,18,2015,33203.431814,"2015-01-18",NA,622.585987
"39",1,19,2014,38523.5167102,"2014-01-19",NA,623.7880921
"40",1,19,2015,33867.4295788,"2015-01-19",NA,623.7880921
"41",1,20,2014,37235.421253,"2014-01-20",NA,625.0220566
"42",1,20,2015,40821.974080478,"2015-01-20",NA,625.0220566
"43",1,21,2014,40178.827588,"2014-01-21",NA,626.2870494
"44",1,21,2015,41717.35750994,"2015-01-21",NA,626.2870494
"45",1,22,2014,35988.1231107,"2014-01-22",NA,627.5822373
"46",1,22,2015,41558.315421,"2015-01-22",NA,627.5822373
"47",1,23,2014,31352.825796988,"2014-01-23",NA,628.906786
"48",1,23,2015,39895.968084914,"2015-01-23",NA,628.906786
"49",1,24,2014,41752.236633,"2014-01-24",NA,630.259862
"50",1,24,2015,37780.04616012,"2015-01-24",NA,630.259862
"51",1,25,2014,40039.5521026,"2014-01-25",NA,631.6406341
"52",1,25,2015,35449.260351,"2015-01-25",NA,631.6406341
"53",1,26,2014,13741.31849024,"2014-01-26",NA,633.0482743
"54",1,26,2015,25666.83172578,"2015-01-26",NA,633.0482743
"55",1,27,2014,26486.74151766,"2014-01-27",NA,634.4819597
"56",1,27,2015,24658.6727189,"2015-01-27",NA,634.4819597
"57",1,28,2014,30910.0401161,"2014-01-28",NA,635.9408731
"58",1,28,2015,27546.7846642,"2015-01-28",NA,635.9408731
"59",1,29,2014,43928.305399,"2014-01-29",NA,637.4242044
"60",1,29,2015,40729.2534893,"2015-01-29",NA,637.4242044
"61",1,30,2014,43072.185889,"2014-01-30",NA,638.931152
"62",1,30,2015,45425.695763,"2015-01-30",NA,638.931152
"63",1,31,2014,38096.272111,"2014-01-31",NA,640.4609231
"64",1,31,2015,44002.633728,"2015-01-31",NA,640.4609231
"65",2,1,2014,41815.135208023,"2014-02-01",NA,642.0127351
"66",2,1,2015,43639.8322146,"2015-02-01",NA,642.0127351
"67",2,2,2014,12776.936747827,"2014-02-02",NA,643.585816
"68",2,2,2015,43183.66821934,"2015-02-02",NA,643.585816
"69",2,3,2014,34988.589102552,"2014-02-03",NA,645.1794058
"70",2,3,2015,44111.4155877,"2015-02-03",NA,645.1794058
"71",2,4,2014,20995.59670828,"2014-02-04",NA,646.7927563
"72",2,4,2015,38595.528129129,"2015-02-04",NA,646.7927563
"73",2,5,2014,48938.478549604,"2014-02-05",NA,648.4251323
"74",2,5,2015,45203.8994860043,"2015-02-05",NA,648.4251323
"75",2,6,2014,28499.01140008,"2014-02-06",NA,650.0758122
"76",2,6,2015,28412.355164624,"2015-02-06",NA,650.0758122
"77",2,7,2014,44886.26195598,"2014-02-07",NA,651.7440877
"78",2,7,2015,45049.882139836,"2015-02-07",NA,651.7440877
"79",2,8,2014,47571.620299,"2014-02-08",NA,653.429265
"80",2,8,2015,31953.915701,"2015-02-08",NA,653.429265
"81",2,9,2014,48722.2464943,"2014-02-09",NA,655.1306647
"82",2,9,2015,46287.7331333,"2015-02-09",NA,655.1306647
"83",2,10,2014,49189.23985952,"2014-02-10",NA,656.8476222
"84",2,10,2015,46035.4750856,"2015-02-10",NA,656.8476222
"85",2,11,2014,48092.26542125,"2014-02-11",NA,658.5794876
"86",2,11,2015,34596.9076141,"2015-02-11",NA,658.5794876
"87",2,12,2014,50471.750569775,"2014-02-12",NA,660.3256265
"88",2,12,2015,43719.029867312,"2015-02-12",NA,660.3256265
"89",2,13,2014,49531.56123515,"2014-02-13",NA,662.0854191
"90",2,13,2015,32219.4360807,"2015-02-13",NA,662.0854191
"91",2,14,2014,41062.100908,"2014-02-14",NA,663.8582611
"92",2,14,2015,44917.19391,"2015-02-14",NA,663.8582611
"93",2,15,2014,33650.017477013,"2014-02-15",NA,665.6435634
"94",2,15,2015,21462.035362,"2015-02-15",NA,665.6435634
"95",2,16,2014,23253.941942,"2014-02-16",NA,667.4407518
"96",2,16,2015,36920.671786,"2015-02-16",NA,667.4407518
"97",2,17,2014,42333.616232063,"2014-02-17",NA,669.2492672
"98",2,17,2015,34663.3543975,"2015-02-17",NA,669.2492672
"99",2,18,2014,50671.951979692,"2014-02-18",NA,671.0685652
"100",2,18,2015,28119.6459449,"2015-02-18",NA,671.0685652
"101",2,19,2014,52765.49981925,"2014-02-19",NA,672.8981162
"102",2,19,2015,20068.8941898,"2015-02-19",NA,672.8981162
"103",2,20,2014,51993.73197219,"2014-02-20",NA,674.7374049
"104",2,20,2015,12387.375179932,"2015-02-20",NA,674.7374049
"105",2,21,2014,47820.7188589,"2014-02-21",NA,676.5859304
"106",2,21,2015,26346.02792894,"2015-02-21",NA,676.5859304
"107",2,22,2014,51619.182105,"2014-02-22",NA,678.4432053
"108",2,22,2015,39530.6596346176,"2015-02-22",NA,678.4432053
"109",2,23,2014,45847.4406679,"2014-02-23",NA,680.3087562
"110",2,23,2015,32919.7898836,"2015-02-23",NA,680.3087562
"111",2,24,2014,50439.196318,"2014-02-24",NA,682.1821226
"112",2,24,2015,31051.04973776,"2015-02-24",NA,682.1821226
"113",2,25,2014,36785.263099,"2014-02-25",NA,684.0628572
"114",2,25,2015,51891.436316,"2015-02-25",NA,684.0628572
"115",2,26,2014,28731.166128,"2014-02-26",NA,685.9505249
"116",2,26,2015,55943.556842,"2015-02-26",NA,685.9505249
"117",2,27,2014,37269.954951,"2014-02-27",NA,687.844703
"118",2,27,2015,53122.53974968,"2015-02-27",NA,687.844703
"119",2,28,2014,57053.96479925,"2014-02-28",NA,689.7449804
"120",2,28,2015,43383.7329187,"2015-02-28",NA,689.7449804
"121",3,1,2013,36232.41101578,"2013-03-01",10.5,691.6509571
"122",3,1,2014,47074.60949819,"2014-03-01",NA,691.6509571
"123",3,1,2015,53539.1624775,"2015-03-01",12.9,691.6509571
"124",3,2,2013,54768.504345717,"2013-03-02",17.3,693.5622441
"125",3,2,2014,40257.405371773,"2014-03-02",NA,693.5622441
"126",3,2,2015,41041.250869606,"2015-03-02",10.7,693.5622441
"127",3,3,2013,42423.225358,"2013-03-03",22.8,695.4784628
"128",3,3,2014,41343.2622674,"2014-03-03",NA,695.4784628
"129",3,3,2015,56161.6797287,"2015-03-03",12.7,695.4784628
"130",3,4,2013,51786.63026722,"2013-03-04",11.4,697.3992444
"131",3,4,2014,53254.44430239,"2014-03-04",NA,697.3992444
"132",3,4,2015,16736.724404578,"2015-03-04",9.3,697.3992444
"133",3,5,2013,43116.0295508,"2013-03-05",10.1,699.3242295
"134",3,5,2014,53178.78701967,"2014-03-05",NA,699.3242295
"135",3,5,2015,56585.4920511,"2015-03-05",13.5,699.3242295
"136",3,6,2013,57280.110414,"2013-03-06",10.3,701.2530677
"137",3,6,2014,51904.86246905,"2014-03-06",NA,701.2530677
"138",3,6,2015,59097.13015303,"2015-03-06",17.8,701.2530677
"139",3,7,2013,59289.435174502,"2013-03-07",12.5,703.1854171
"140",3,7,2014,53709.478707805,"2014-03-07",NA,703.1854171
"141",3,7,2015,56037.88288823,"2015-03-07",20.1,703.1854171
"142",3,8,2013,50717.674448,"2013-03-08",17.8,705.1209435
"143",3,8,2014,22906.85821982,"2014-03-08",NA,705.1209435
"144",3,8,2015,54662.74782988,"2015-03-08",20.8,705.1209435
"145",3,9,2013,58210.33352249,"2013-03-09",14.6,707.0593206
"146",3,9,2014,21495.2608545,"2014-03-09",NA,707.0593206
"147",3,9,2015,53288.68758056,"2015-03-09",22.4,707.0593206
"148",3,10,2013,58233.4577982,"2013-03-10",14,709.0002285
"149",3,10,2014,39407.6189203,"2014-03-10",NA,709.0002285
"150",3,10,2015,49440.2454459,"2015-03-10",23.2,709.0002285
"151",3,11,2013,58565.1720894,"2013-03-11",20,710.9433541
"152",3,11,2014,51033.265444312,"2014-03-11",NA,710.9433541
"153",3,11,2015,49839.2336188,"2015-03-11",21.2,710.9433541
"154",3,12,2013,55648.445773,"2013-03-12",25.2,712.88839
"155",3,12,2014,32081.32743191,"2014-03-12",NA,712.88839
"156",3,12,2015,28710.968697326,"2015-03-12",10.8,712.88839
"157",3,13,2013,59724.8152665,"2013-03-13",22.7,714.8350345
"158",3,13,2014,14453.02937,"2014-03-13",NA,714.8350345
"159",3,13,2015,54955.690279,"2015-03-13",13.1,714.8350345
"160",3,14,2013,57150.085061,"2013-03-14",26.5,716.7829903
"161",3,14,2014,36350.5743613,"2014-03-14",NA,716.7829903
"162",3,14,2015,59369.071815,"2015-03-14",14.2,716.7829903
"163",3,15,2013,53748.474045875,"2013-03-15",27.7,718.7319649
"164",3,15,2014,37571.8573663,"2014-03-15",NA,718.7319649
"165",3,15,2015,57441.8926625,"2015-03-15",13.7,718.7319649
"166",3,16,2013,48528.337456,"2013-03-16",13.1,720.6816695
"167",3,16,2014,58622.8840357,"2014-03-16",NA,720.6816695
"168",3,16,2015,59979.748400125,"2015-03-16",11.7,720.6816695
"169",3,17,2013,25246.653876,"2013-03-17",8,722.6318185
"170",3,17,2014,33199.4709355,"2014-03-17",NA,722.6318185
"171",3,17,2015,57435.350208072,"2015-03-17",15,722.6318185
"172",3,18,2013,50773.407356,"2013-03-18",11.2,724.5821293
"173",3,18,2014,36265.740548,"2014-03-18",NA,724.5821293
"174",3,18,2015,62365.32446403,"2015-03-18",16.2,724.5821293
"175",3,19,2013,47197.8106643,"2013-03-19",15.5,726.5323215
"176",3,19,2014,60370.2066607,"2014-03-19",NA,726.5323215
"177",3,19,2015,49820.71786877,"2015-03-19",11.7,726.5323215
